报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",点击率（全部）,custom_derived_metrics:334261784830934,应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物","单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",视频平均播放时长,结果（初始）,成效（初始）指标
2026-05-01,2026-06-08,"20260603_GrowMe_EN_9x16_FX-Mindset_ZT- dosomeing_RS-P3X1R1C3_fj_jql",active,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_WW_0604_joy,116,0.19,0,,,,,,,,,26.724138,1,5,,
2026-05-01,2026-06-08,20260605_growme_EN_9x16_FX-learning_ZT-niupizhi1_RS-P1X1R3C3_wxx,active,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_WW_0605_joy,485,1.64,1.030928,0,,,,,,,,22.268041,13,9,,
2026-05-01,2026-06-08,20260605_GrowMe_EN_9x16_FX-Learning_ZT-b1_RS-P3X1R1C3_fj,inactive,1,actions:app_custom_event.fb_mobile_purchase,53.43,260606_AAA_AEO-Purchase_ios_vid_Growme_WW_0605_joy,28503,53.43,1.217416,0.28947368,33,1.619091,1,53.43,1,53.43,0.157964,18.517349,216,7,,
2026-05-01,2026-06-08,"20260604_GrowMe_EN_9x16_FX-Mindset_ZT- change_RS-P3X1R1C3_fj_jql",active,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_WW_0605_joy,15671,29.49,1.882458,0.15789474,9,3.276667,,,,,,24.076319,251,9,,
2026-05-01,2026-06-08,"20260604_GrowMe_EN_9x16_FX-EmotionalHealth_ZT- anxiety_RS-P3X1R1C3_fj_jql",active,3,actions:app_custom_event.fb_mobile_purchase,28.90666667,260606_AAA_AEO-Purchase_ios_vid_Growme_WW_0605_joy,39628,86.72,1.864843,0.12272727,27,3.211852,5,17.344,3,28.906667,0.614276,19.06985,220,5,,
2026-05-01,2026-06-08,20260604_GrowMe_EN_9x16_FX-Mindset_ZT-strat_RS-P3X1R1C3_fj_jql,inactive,2,actions:app_custom_event.fb_mobile_purchase,37.28,260606_AAA_AEO-Purchase_ios_vid_Growme_WW_0605_joy,38195,74.56,0.788061,0.36842105,35,2.130286,4,18.64,2,37.28,0.562768,19.180521,133,4,,
2026-05-01,2026-06-08,20260605_growme_EN_9x16_FX-mindset_ZT-caise_RS-P1X1R3C3_wxx,active,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_WW_0605_joy,379,0.86,1.319261,0,,,,,,,,28.496042,8,9,,
2026-05-01,2026-06-08,20260605_growme_EN_9x16_FX-successful_ZT-color_RS-P1X1R3C3_wxx,active,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_WW_0605_joy,524,1.59,0.763359,0,,,,,,,,19.847328,12,4,,
2026-05-01,2026-06-08,20260604_GrowMe_EN_9x16_FX-Finance_ZT-turtle_RS-P3X1R1C3_fj_jql,active,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_WW_0605_joy,27,0.06,0,,,,,,,,,18.518519,,3,,
2026-05-01,2026-06-08,20260605_GrowMe_EN_9x16_FX-Learning_ZT-privilege_RS-P3X1R1C3_fj,active,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_WW_0605_joy,483,1.27,0.621118,0,,,,,,,,42.028986,,4,,
2026-05-01,2026-06-08,20260605_growme_EN_9x16_FX-successful_ZT-color2_RS-P1X1R3C3_wxx,active,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_WW_0605_joy,244,1.02,1.229508,0,,,,,,,,29.918033,7,5,,
