报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,结果（初始）,成效（初始）指标
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-Mindset_ZT-brain_RS-P3X1R1C3_gy_jql,inactive,1,actions:app_custom_event.fb_mobile_purchase,83.44,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,31007,83.44,44,1.896364,3,27.813333,1,83.44,0.386385,1.580288,0.1260745,,
2026-05-01,2026-06-15,20260612_growme_EN_9x16_FX-LifeLessons_ZT-patience_RS-P1X1R3C3_wxx,active,1,actions:app_custom_event.fb_mobile_purchase,102.25,"260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy - Copy",41647,102.25,56,1.825893,5,20.45,1,102.25,0.273643,1.41907,0.1686747,,
2026-05-01,2026-06-15,20260612_GrowMe_EN_9x16_FX-Mindset_ZT-see_RS-P3X1R1C3_gy,active,,,,"260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy - Copy",1032,2.54,,,,,,,,0.581395,0,,
2026-05-01,2026-06-15,20260612_GrowMe_EN_9x16_FX-Learning_ZT-confident_RS-P3X1R1C3_gy,active,,,,"260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy - Copy",3794,12.77,4,3.1925,,,,,,1.027939,0.14814815,,
2026-05-01,2026-06-15,"20260612_GrowMe_EN_9x16_FX-Communication_ZT- battle_RS-P3X1R1C3_gy",active,,,,"260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy - Copy",6856,17.09,4,4.2725,2,8.545,,,,1.312719,0.09090909,,
2026-05-01,2026-06-15,20260612_growme_EN_9x16_FX-LifeLessons_ZT-jounrey_RS-P1X1R3C3_wxx,active,1,actions:app_custom_event.fb_mobile_purchase,18.83,"260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy - Copy",7550,18.83,11,1.711818,2,9.415,1,18.83,1.355815,1.417219,0.16176471,,
2026-05-01,2026-06-15,20260612_growme_EN_9x16_FX-Mood_ZT-rain_RS-P1X1R3C3_wxx,active,,,,"260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy - Copy",357,1.11,,,,,,,,0.280112,0,,
2026-05-01,2026-06-15,20260612_growme_EN_9x16_FX-Mood_ZT-rain2_RS-P1X1R3C3_wxx,active,,,,"260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy - Copy",564,2.42,,,,,,,,0.35461,,,
2026-05-01,2026-06-15,20260612_growme_EN_9x16_FX-Learning_ZT-read_RS-P1X1R3C3_wxx,active,,,,"260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy - Copy",13101,35.22,13,2.709231,3,11.74,,,,0.946493,0.18309859,,
2026-05-01,2026-06-15,20260612_GrowMe_EN_9x16_FX-Mindset_ZT-powerful_RS-P3X1R1C3_gy,inactive,,,,"260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy - Copy",13930,44.02,23,1.913913,,,,,,1.572146,0.17829457,,
2026-05-01,2026-06-15,20260612_GrowMe_EN_9x16_FX-Mindset_ZT-reaction_RS-P3X1R1C3_gy,active,,,,"260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy - Copy",11449,23.51,14,1.679286,,,,,,0.724954,0.31818182,,
2026-05-01,2026-06-15,20260612_growme_EN_9x16_01_FX-Challenge_ZT-trauma_RS-P1X1R3C3_wxx,active,,,,"260613_ABO_AEO-Purchase_ios_vid_Growme_WW_0612_joy - Copy",112,0.27,,,,,,,,0,,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-Mindset_ZT-seen_RS-P3X1R1C3_gy_jql,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,460,0.98,,,,,,,,1.956522,0,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-Mindset_ZT-respect_RS-P3X1R1C3_gy_jql,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,75,0.19,,,,,,,,1.333333,0,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-Learning_ZT-improve_RS-P3X1R1C3_fj,inactive,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,16455,47.26,27,1.75037,,,,,,1.349134,0.19708029,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-mindset_ZT-love_RS-P3X1R1C3_gy_jql,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,315,1.2,,,,,,,,0.952381,0,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-Learning_ZT-story_RS-P3X1R1C3_gy,inactive,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,10808,43.16,23,1.876522,,,,,,1.609919,0.21904762,,
2026-05-01,2026-06-15,"20260611_GrowMe_EN_9x16_FX-Book Reading_ZT-story_RS-P3X1R1C3_fj",active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,68,0.19,,,,,,,,0,,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-LifeLessons_ZT-success_RS-P3X1R1C3_gy_jql,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,4262,10.16,6,1.693333,,,,,,1.149695,0.23076923,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-Communication_ZT-conflicts_RS-P3X1R1C3_fj,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,1275,3.27,,,,,,,,0.784314,0,,
2026-05-01,2026-06-15,20260610_growme_EN_9x16_FX-learning_ZT-brain2_RS-P1X1R3C3_wxx,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,1158,4.16,1,4.16,,,,,,0.690846,0.16666667,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-Learning_ZT-read_RS-P3X1R1C3_gy_jql,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,329,0.51,1,0.51,,,,,,1.215805,0.5,,
2026-05-01,2026-06-15,20260611_growme_EN_9x16_FX-learning_ZT-heidi_RS-P1X1R3C3_wxx,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,1036,2.24,,,,,,,,2.123552,0,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-Learning_ZT-listen_RS-P3X1R1C3_gy_jql,inactive,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,26730,75.69,28,2.703214,,,,,,1.316872,0.11155378,,
2026-05-01,2026-06-15,"20260611_GrowMe_EN_9x16_FX-Learning_ZT-english story_RS-P3X1R1C3_fj",active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,20195,52.15,31,1.682258,,,,,,1.510275,0.13537118,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-Successful_ZT-success_RS-P3X1R1C3_gy,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,721,1.77,,,,,,,,0.416089,0,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-LifeLessons_ZT-believe_RS-P3X1R1C3_gy,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,372,0.72,,,,,,,,0.806452,0,,
2026-05-01,2026-06-15,20260611_growme_EN_9x16_FX-learning_ZT-lianxi2_RS-P1X1R3C3_wxx,inactive,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,20451,42.74,31,1.37871,2,21.37,,,,1.056183,0.31632653,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-LifeLessons_ZT-lifehard_RS-P3X1R1C3_gy,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,263,0.5,,,,,,,,1.140684,0,,
2026-05-01,2026-06-15,20260610_growme_EN_9x16_FX-learning_ZT-brain_RS-P1X1R3C3_wxx,inactive,1,actions:app_custom_event.fb_mobile_purchase,126.66,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,67708,126.66,108,1.172778,4,31.665,1,126.66,0.066003,1.652685,0.32926829,,
2026-05-01,2026-06-15,20260610_growme_EN_9x16_FX-Finance_ZT-money_RS-P1X1R3C3_wxx,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,130,0.16,,,,,,,,0,,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-Mindset_ZT-alone_RS-P3X1R1C3_gy,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,1848,4.61,6,0.768333,,,,,,1.785714,0.24,,
2026-05-01,2026-06-15,20260611_growme_EN_9x16_FX-learning_ZT-lianxi_RS-P1X1R3C3_wxx,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,1094,2.58,,,,,,,,1.462523,0,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-Mindset_ZT-progress_RS-P3X1R1C3_gy_jql,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,156,0.35,,,,,,,,3.205128,0,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-LifeLessons_ZT-life_RS-P3X1R1C3_gy_jql,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,562,1.54,,,,,,,,1.423488,0,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-Mindset_ZT-doit_RS-P3X1R1C3_gy_jql,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,367,0.72,1,0.72,,,,,,0.817439,1,,
2026-05-01,2026-06-15,"20260609_growme_EN_9x16_01_FX-Learning _ZT-english_RS-P1X1R3C3_wxx",active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,4473,14.88,3,4.96,,,,,,1.542589,0.06122449,,
2026-05-01,2026-06-15,20260609_growme_EN_9x16_01_FX-Reading_ZT-wrong_RS-P1X1R3C3_wxx,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,2461,3.94,,,,,,,,0.568874,0,,
2026-05-01,2026-06-15,20260609_growme_EN_9x16_01_FX-Mood_ZT-0finished_RS-P1X1R3C3_wxx,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,552,0.91,,,,,,,,1.449275,0,,
2026-05-01,2026-06-15,20260610_growme_EN_9x16_01_FX-communication_ZT-interesting_RS-P1X1R3C3_wxx,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,1002,2.48,7,0.354286,,,,,,1.596806,0.77777778,,
2026-05-01,2026-06-15,20260610_growme_EN_9x16_01_FX-Challenge_ZT-lookfor_RS-P1X1R3C3_wxx,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,178,0.49,,,,,,,,1.685393,0,,
2026-05-01,2026-06-15,"20260610_GrowMe_EN_9x16_FX-Book Reading_ZT-true richness-1_RS-P3X1R1C3_fj",active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,6656,23.93,14,1.709286,,,,,,2.509014,0.09929078,,
2026-05-01,2026-06-15,"20260610_GrowMe_EN_9x16_FX-Communication_ZT- interpersonal-1_RS-P3X1R1C3_fj",active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,2927,8.77,,,,,,,,1.844892,0,,
2026-05-01,2026-06-15,20260610_GrowMe_EN_9x16_FX-Mindset_ZT-emo-1_RS-P3X1R1C3_fj,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,527,1.15,1,1.15,,,,,,2.087287,0.1,,
2026-05-01,2026-06-15,"20260610_GrowMe_EN_9x16_FX- Learning_ZT- learn well-1_RS-P3X1R1C3_fj",active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,2809,6.48,2,3.24,,,,,,1.388394,0.08695652,,
2026-05-01,2026-06-15,"20260610_GrowMe_EN_9x16_FX-Mood_ZT-pride rain-1_RS-P3X1R1C3_fj",active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,114,0.27,,,,,,,,0,,,
2026-05-01,2026-06-15,"20260611_GrowMe_EN_9x16_FX-Learning_ZT-Reading habits_RS-P3X1R1C3_fj",active,2,actions:app_custom_event.fb_mobile_purchase,2.95,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,2771,5.9,3,1.966667,2,2.95,2,2.95,6.688136,1.407434,0.15,,
2026-05-01,2026-06-15,20260611_GrowMe_EN_9x16_FX-Learning_ZT-wawa_RS-P3X1R1C3_fj,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0611_joy,397,1.07,,,,,,,,1.007557,0,,
2026-05-01,2026-06-15,20260610_GrowMe_EN_9x16_FX-Mindset_ZT-yourself_RS-P3X1R1C3_gy_jql,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,715,1.88,,,,,,,,1.118881,0,,
2026-05-01,2026-06-15,20260610_GrowMe_EN_9x16_FX-Learning_ZT-book_RS-P3X1R1C3_gy_jql,inactive,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,20002,42.44,29,1.463448,,,,,,1.184882,0.25663717,,
2026-05-01,2026-06-15,20260610_GrowMe_EN_9x16_FX-Learning_ZT-read_RS-P3X1R1C3_gy_jql,inactive,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,16392,43.5,38,1.144737,,,,,,1.342118,0.28787879,,
2026-05-01,2026-06-15,20260610_GrowMe_EN_9x16_FX-Habitst_ZT-lose_RS-P3X1R1C3_gy_jql,active,,,,260611_ABO_AEO-Purchase_ios_vid_Growme_WW_0610_joy,1358,4.04,1,4.04,,,,,,1.399116,0.08333333,,
