报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,结果（初始）,成效（初始）指标
2026-05-01,2026-06-15,20260601_growme_EN_9x16_FX-lifelessons_ZT-education_RS-P1X1R3C3_wxx,not_delivering,,,,260608_AAA_AEO-Purchase_ios_vid_Growme_WW_05250601back_joy,21,0.03,,,,,,,,0,,,
2026-05-01,2026-06-15,20260601_growme_EN_9x16_FX-Learning_ZT-communication_RS-P1X1R3C3_wxx,not_delivering,,,,260608_AAA_AEO-Purchase_ios_vid_Growme_WW_05250601back_joy,14533,18.79,25,0.7516,,,,,,1.224799,0.3968254,,
2026-05-01,2026-06-15,20260602_growme_EN_9x16_FX-Quotes_ZT-book_RS-P1X1R3C3_wxx,not_delivering,,,,260608_AAA_AEO-Purchase_ios_vid_Growme_WW_05250601back_joy,1118,2.1,2,1.05,,,,,,1.520572,0.28571429,,
2026-05-01,2026-06-15,20260602_GrowMe_0_EN_9x16_FX-LifeLessons_ZT-confidence_RS-P3X1R1C3_gy,not_delivering,,,,260608_AAA_AEO-Purchase_ios_vid_Growme_WW_05250601back_joy,255,0.53,,,,,,,,1.960784,0,,
2026-05-01,2026-06-15,20260603_GrowMe_EN_9x16_FX-fear_ZT-d1_RS-P3X1R1C3_fj,not_delivering,,,,260608_AAA_AEO-Purchase_ios_vid_Growme_WW_05250601back_joy,5,0,,,,,,,,0,,,
2026-05-01,2026-06-15,20260603_GrowMe_EN_9x16_FX-WomenEmpowerment_ZT-forgive_RS-P3X1R1C3_gy,not_delivering,,,,260608_AAA_AEO-Purchase_ios_vid_Growme_WW_05250601back_joy,14,0,,,,,,,,0,,,
2026-05-01,2026-06-15,20260603_GrowMe_0_EN_9x16_FX-Learning_ZT-speak_RS-P3X1R1C3_gy,not_delivering,,,,260608_AAA_AEO-Purchase_ios_vid_Growme_WW_05250601back_joy,5325,8.38,5,1.676,,,,,,0.920188,0.23809524,,
2026-05-01,2026-06-15,20260603_GrowMe_EN_9x16_FX-Growth_ZT-change_RS-P3X1R1C3_gy,not_delivering,,,,260608_AAA_AEO-Purchase_ios_vid_Growme_WW_05250601back_joy,2656,4.59,2,2.295,,,,,,1.28012,0.2,,
2026-05-01,2026-06-15,20260604_GrowMe_EN_9x16_FX-Learning_ZT-habbit_RS-P3X1R1C3_gy,not_delivering,3,actions:app_custom_event.fb_mobile_purchase,49.32,260608_AAA_AEO-Purchase_ios_vid_Growme_WW_05250601back_joy,60616,147.96,188,0.787021,5,29.592,3,49.32,0.644025,1.577141,0.31333333,,
2026-05-01,2026-06-15,20260604_GrowMe_EN_9x16_FX-LifeLessons_ZT-perfect_RS-P3X1R1C3_gy,not_delivering,,,,260608_AAA_AEO-Purchase_ios_vid_Growme_WW_05250601back_joy,576,1.05,,,,,,,,0.694444,0,,
2026-05-01,2026-06-15,20260604_GrowMe_EN_9x16_FX-Mindset_ZT-strat_RS-P3X1R1C3_fj_jql,not_delivering,,,,260608_AAA_AEO-Purchase_ios_vid_Growme_WW_05250601back_joy,82,0.1,,,,,,,,0,,,
2026-05-01,2026-06-15,20260605_GrowMe_EN_9x16_FX-Learning_ZT-b1_RS-P3X1R1C3_fj,not_delivering,,,,260608_AAA_AEO-Purchase_ios_vid_Growme_WW_05250601back_joy,2017,4.06,2,2.03,,,,,,1.487357,0.2,,
2026-05-01,2026-06-15,20260527_growme_EN_9x16_FX-Creatives_ZT-fluency_RS-P1X1R3C3_wxx,not_delivering,,,,260608_AAA_AEO-Purchase_ios_vid_Growme_WW_05250601back_joy,4040,18.57,18,1.031667,,,,,,1.732673,0.58064516,,
2026-05-01,2026-06-15,20260601_GrowMe_EN_9x16_FX-Learning_ZT-trainbrain_RS-P3X1R1C3_fj,not_delivering,,,,260608_AAA_AEO-Purchase_ios_vid_Growme_WW_05250601back_joy,706,1.28,1,1.28,,,,,,3.966006,0.07692308,,
2026-05-01,2026-06-15,20260601_GrowMe_EN_9x16_FX-Communication_ZT-read_RS-P3X1R1C3_gy,not_delivering,,,,260608_AAA_AEO-Purchase_ios_vid_Growme_WW_05250601back_joy,174,0.3,,,,,,,,1.149425,,,
