报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"已花费金额 (USD)",点击率（全部）,custom_derived_metrics:334261784830934,应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物","单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",视频平均播放时长,结果（初始）,成效（初始）指标
2026-05-01,2026-06-08,"20260603_GrowMe_EN_9x16_FX-Mindset_ZT- work_RS-P3X1R1C3_fj_jql",not_delivering,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_T1_0604_joy,57,0.48,3.508772,0,,,,,,,,35.087719,,5,,
2026-05-01,2026-06-08,20260605_GrowMe_EN_9x16_FX-Learning_ZT-privilege_RS-P3X1R1C3_fj,not_delivering,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_T1_0605_joy,65,0.72,0,,,,,,,,,44.615385,,8,,
2026-05-01,2026-06-08,20260604_GrowMe_EN_9x16_FX-Mindset_ZT-strat_RS-P3X1R1C3_fj_jql,not_delivering,1,actions:app_custom_event.fb_mobile_purchase,154.91,260606_AAA_AEO-Purchase_ios_vid_Growme_T1_0605_joy,18264,154.91,1.708279,0.25373134,17,9.112353,1,154.91,1,154.91,0.184817,27.595269,89,5,,
2026-05-01,2026-06-08,"20260604_GrowMe_EN_9x16_FX-Mindset_ZT- change_RS-P3X1R1C3_fj_jql",not_delivering,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_T1_0605_joy,902,9.59,1.330377,0,,,,,,,,25.388027,19,10,,
2026-05-01,2026-06-08,"20260604_GrowMe_EN_9x16_FX-EmotionalHealth_ZT- anxiety_RS-P3X1R1C3_fj_jql",not_delivering,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_T1_0605_joy,2460,32.14,1.056911,0.09090909,1,32.14,,,,,,19.756098,33,5,,
2026-05-01,2026-06-08,20260605_growme_EN_9x16_FX-successful_ZT-color2_RS-P1X1R3C3_wxx,not_delivering,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_T1_0605_joy,55,0.82,1.818182,0,,,,,,,,25.454545,,3,,
2026-05-01,2026-06-08,20260605_growme_EN_9x16_FX-successful_ZT-color_RS-P1X1R3C3_wxx,not_delivering,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_T1_0605_joy,66,0.99,0,,,,,,,,,19.69697,2,4,,
2026-05-01,2026-06-08,20260604_GrowMe_EN_9x16_FX-Finance_ZT-turtle_RS-P3X1R1C3_fj_jql,not_delivering,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_T1_0605_joy,5,0.03,0,,,,,,,,,40,,11,,
2026-05-01,2026-06-08,20260605_GrowMe_EN_9x16_FX-Learning_ZT-b1_RS-P3X1R1C3_fj,not_delivering,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_T1_0605_joy,5303,44.56,1.640581,0.38709677,12,3.713333,1,44.56,,,,19.102395,44,6,,
2026-05-01,2026-06-08,20260605_growme_EN_9x16_FX-mindset_ZT-caise_RS-P1X1R3C3_wxx,not_delivering,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_T1_0605_joy,276,2.61,0.724638,0,,,,,,,,22.463768,4,6,,
2026-05-01,2026-06-08,20260605_GrowMe_EN_9x16_FX-Communication_ZT-contro_RS-P3X1R1C3_fj,not_delivering,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_T1_0605_joy,10,0.13,0,,,,,,,,,40,,6,,
2026-05-01,2026-06-08,20260605_growme_EN_9x16_FX-learning_ZT-niupizhi1_RS-P1X1R3C3_wxx,not_delivering,,,,260606_AAA_AEO-Purchase_ios_vid_Growme_T1_0605_joy,45,0.47,0,,,,,,,,,28.888889,1,10,,
2026-05-01,2026-06-08,20260604_GrowMe_EN_9x16_FX-Learning_ZT-book_RS-P3X1R1C3_gy,not_delivering,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_T1_0604_joy,74,1.01,2.702703,0,,,,,,,,35.135135,4,17,,
2026-05-01,2026-06-08,20260604_growme_EN_9x16_FX-lifelessons_ZT-leisi-choies_RS-P1X1R3C3_wxx,not_delivering,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_T1_0604_joy,23,0.17,0,,,,,,,,,39.130435,,7,,
2026-05-01,2026-06-08,20260604_growme_EN_9x16_FX-Learning_ZT-reading_RS-P1X1R3C3_wxx,not_delivering,,,,260605_AAA_AEO-Purchase_ios_vid_Growme_T1_0604_joy,70,1.51,1.428571,0,,,,,,,,18.571429,2,6,,
