报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2025-12-01,2026-06-26,"20260612_GrowMe_EN_9x16_FX- Learning_ZT- study_RS-P3X1R1C3_fj",active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,255,3.72549,0.95,,,,,,,,3.921569,0,20.784314,1,,
2025-12-01,2026-06-26,"20260615_GrowMe_EN_9x16_FX-Challenge_ZT-Follow along_RS-P3X1R1C3_fj",active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,41,4.146341,0.17,1,0.17,,,,,,4.878049,0.5,21.95122,,,
2025-12-01,2026-06-26,20260615_GrowMe_EN_9x16_FX-Successful_ZT-communicate_RS-P3X1R1C3_fj,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,29,1.37931,0.04,,,,,,,,0,,20.689655,,,
2025-12-01,2026-06-26,20260615_GrowMe_EN_9x16_FX-Learning_ZT-speech_RS-P3X1R1C3_fj,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,470,2.595745,1.22,1,1.22,,,,,,1.276596,0.33333333,23.191489,6,,
2025-12-01,2026-06-26,20260615_GrowMe_EN_9x16_FX-Creative_ZT-11things_LV1-scape_RS-P3X1R1C3_fj,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,564,4.574468,2.58,,,,,,,,1.41844,0,26.77305,11,,
2025-12-01,2026-06-26,20260615_GrowMe_EN_9x16_FX-LifeLessons_ZT-advice_RS-P3X1R1C3_gy_jql,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,64,1.875,0.12,,,,,,,,3.125,0,18.75,,,
2025-12-01,2026-06-26,20260615_GrowMe_EN_9x16_FX-LifeLessons_ZT-explain_RS-P3X1R1C3_gy,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,10,3,0.03,,,,,,,,10,0,40,,,
2025-12-01,2026-06-26,20260615_GrowMe_EN_9x16_FX-SelfImprovement_ZT-better_RS-P3X1R1C3_gy_jql,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,633,3.033175,1.92,1,1.92,,,,,,0.947867,0.2,15.797788,2,,
2025-12-01,2026-06-26,20260615_GrowMe_EN_9x16_FX-Financet_ZT-rich_RS-P3X1R1C3_gy_jql,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,56,1.071429,0.06,,,,,,,,0,,12.5,2,,
2025-12-01,2026-06-26,20260615_GrowMe_EN_9x16_FX-Quetes_ZT-everything_RS-P3X1R1C3_gy_jql,active,,,,260624_ABO_AEO-Purchase_ios_vid_Growme_WW_0615排最好_joy,36,1.944444,0.07,,,,,,,,2.777778,0,27.777778,,,
