报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-pic_ZT-test-9-_RS-P3X1R1C3_gy,inactive,,,,260625_AAA_AEO-Purchase_ios_pic_Growme_WW_0622week_joy,18077,1.365824,24.69,,,,,,,,2.694031,0,,,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-pic_ZT-test-1-_RS-P3X1R1C3_gy,inactive,,,,260625_AAA_AEO-Purchase_ios_pic_Growme_WW_0622week_joy,17925,1.686471,30.23,9,3.358889,,,,,,1.824268,0.02970297,,,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-pic_ZT-test-6-_RS-P3X1R1C3_gy,inactive,,,,260625_AAA_AEO-Purchase_ios_pic_Growme_WW_0622week_joy,21546,2.127077,45.83,24,1.909583,,,,,,1.772951,0.06837607,,,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-pic_ZT-test-2-_RS-P3X1R1C3_gy,active,,,,260625_AAA_AEO-Purchase_ios_pic_Growme_WW_0622week_joy,7929,2.629588,20.85,33,0.631818,2,10.425,,,,2.61067,0.16582915,,,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-pic_ZT-test-8-_RS-P3X1R1C3_gy,inactive,,,,260625_AAA_AEO-Purchase_ios_pic_Growme_WW_0622week_joy,20036,1.379517,27.64,16,1.7275,,,,,,1.676981,0.05245902,,,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-pic_ZT-test-11-_RS-P3X1R1C3_gy,active,,,,260625_AAA_AEO-Purchase_ios_pic_Growme_WW_0622week_joy,1254,2.15311,2.7,,,,,,,,2.15311,0,,,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-pic_ZT-test-7-_RS-P3X1R1C3_gy,active,3,actions:app_custom_event.fb_mobile_purchase,54.25333333,260625_AAA_AEO-Purchase_ios_pic_Growme_WW_0622week_joy,82279,1.978148,162.76,64,2.543125,4,40.69,3,54.253333,0.374109,1.373376,0.06349206,,,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-pic_ZT-test-10-_RS-P3X1R1C3_gy,inactive,,,,260625_AAA_AEO-Purchase_ios_pic_Growme_WW_0622week_joy,6072,3.931159,23.87,1,23.87,,,,,,1.992754,0.00884956,,,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-pic_ZT-test-5-_RS-P3X1R1C3_gy,inactive,2,actions:app_custom_event.fb_mobile_purchase,49.935,260625_AAA_AEO-Purchase_ios_pic_Growme_WW_0622week_joy,27192,3.672771,99.87,25,3.9948,1,99.87,2,49.935,0.280865,1.254045,0.09225092,,,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-pic_ZT-test-4-_RS-P3X1R1C3_gy,active,,,,260625_AAA_AEO-Purchase_ios_pic_Growme_WW_0622week_joy,3237,4.711152,15.25,6,2.541667,,,,,,1.359283,0.17647059,,,,
2026-06-01,2026-06-29,20260624_GrowMe_EN_9x16_FX-pic_ZT-test-3-_RS-P3X1R1C3_gy,active,,,,260625_AAA_AEO-Purchase_ios_pic_Growme_WW_0622week_joy,280,2.607143,0.73,,,,,,,,0.714286,0,,,,
