报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2026-06-01,2026-06-29,20260626_GrowMe_EN_9x16_FX-Lifelessons_ZT-happiness_RS-P3X1R1C3_gy,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,3447,3.498695,12.06,2,6.03,,,,,,1.18944,0.0625,15.81085,33,,
2026-06-01,2026-06-29,20260626_GrowMe_EN_9x16_FX-Lifelessons_ZT-respond_RS-P3X1R1C3_gy,active,5,actions:app_custom_event.fb_mobile_purchase,17.822,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,44611,1.997489,89.11,66,1.350152,6,14.851667,5,17.822,0.861632,1.010961,0.26190476,15.070274,766,,
2026-06-01,2026-06-29,20260626_GrowMe_EN_9x16_FX-LifeLessons_ZT-mistake_RS-P3X1R1C3_gy_jql,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,3640,3.18956,11.61,6,1.935,,,,,,1.978022,0.11111111,13.296703,11,,
2026-06-01,2026-06-29,20260626_GrowMe_EN_9x16_FX-Learning_ZT-learn_RS-P3X1R1C3_gy_jql,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,524,2.442748,1.28,,,,,,,,0.954198,0,15.839695,3,,
2026-06-01,2026-06-29,20260626_GrowMe_EN_9x16_FX-Mindset_ZT-stay_RS-P3X1R1C3_gy_jql,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,349,2.063037,0.72,,,,,,,,0.286533,0,13.753582,,,
2026-06-01,2026-06-29,20260626_GrowMe_EN_9x16_FX-Learning_ZT-routine_RS-P3X1R1C3_gy_jql,inactive,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,12270,1.660962,20.38,19,1.072632,,,,,,1.198044,0.21348315,18.744906,135,,
2026-06-01,2026-06-29,20260626_GrowMe_EN_9x16_FX-Mindset_ZT-success_RS-P3X1R1C3_gy_jql,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,66,2.424242,0.16,,,,,,,,0,,15.151515,,,
2026-06-01,2026-06-29,20260626_GrowMe_EN_9x16_FX-Learning_ZT-habit_RS-P3X1R1C3_gy_jql,inactive,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,8907,2.567643,22.87,10,2.287,,,,,,0.595038,0.4,16.98664,32,,
2026-06-01,2026-06-29,20260626_GrowMe_EN_9x16_FX-Reading_ZT-reader_RS-P3X1R1C3_gy_jql,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,7294,1.601316,11.68,6,1.946667,,,,,,0.836304,0.21428571,17.850288,28,,
2026-06-01,2026-06-29,20260626_GrowMe_EN_9x16_FX-SelfImprovement_ZT-growth_RS-P3X1R1C3_gy_jql,active,,,,260626_ABO_AEO-Purchase_ios_vid_Growme_WW_0626_joy,187,2.994652,0.56,,,,,,,,0,,14.438503,1,,
