报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",帖子评论数,帖文互动,结果（初始）,成效（初始）指标
2026-06-01,2026-07-06,"20260702_growme_EN_9x16_FX-Overthinkers _ZT-Mindset-pic1_RS-P1X1R3C3_wxx",active,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,177,3.389831,0.6,,,,,,,,0.564972,0,,,,1,,
2026-06-01,2026-07-06,20260703_growme_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement-pic8_RS-P1X1R3C3_wxx.jpg,inactive,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,7517,3.484103,26.19,10,2.619,1,26.19,,,,1.968871,0.08130081,,,,160,,
2026-06-01,2026-07-06,20260703_growme_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement-pic7_RS-P1X1R3C3_wxx,active,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,719,2.656467,1.91,,,,,,,,2.642559,0,,,,23,,
2026-06-01,2026-07-06,20260702_GrowMe_EN_1x1_FX-Women_ZT-Mindset-pic2_RS-P3X1R1C3_gy,active,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,7900,1.639241,12.95,4,3.2375,,,,,,2.594937,0.02020202,,,,201,,
2026-06-01,2026-07-06,20260703_growme_EN_9x16_FX-Women_ZT-SelfImprovement-pic6_RS-P1X1R3C3_wxx,inactive,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,4401,4.719382,20.77,,,,,,,,2.067712,0,,,,88,,
2026-06-01,2026-07-06,20260702_growme_EN_9x16_FX-EnglishReaders_ZT-learning-pic9_RS-P1X1R3C3_gy,active,7,actions:app_custom_event.fb_mobile_purchase,25.83714286,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,64128,2.820297,180.86,114,1.586491,8,22.6075,7,25.837143,0.646135,1.858782,0.11704312,,,,1142,,
2026-06-01,2026-07-06,20260702_growme_EN_9x16_FX-EnglishReaders_ZT-learning-pic10_RS-P1X1R3C3_gy.jpg,active,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,644,1.661491,1.07,3,0.356667,,,,,,3.881988,0.13043478,,,,24,,
2026-06-01,2026-07-06,20260702_growme_EN_4x5_FX-SelfGrowth_ZT-lifelessons-pic3_RS-P1X1R3C3_gy,active,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,514,4.066148,2.09,,,,,,,,2.529183,0,,,,18,,
2026-06-01,2026-07-06,20260702_growme_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement-pic5_RS-P1X1R3C3_gy,inactive,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,4576,4.145542,18.97,7,2.71,,,,,,2.556818,0.08433735,,,,92,,
2026-06-01,2026-07-06,20260702_growme_EN_9x16_FX-Readers_ZT-learning-pic7_RS-P1X1R3C3_gy,active,3,actions:app_custom_event.fb_mobile_purchase,11.23666667,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,10142,3.323802,33.71,8,4.21375,2,16.855,3,11.236667,1.31148,1.281798,0.08602151,,,,135,,
2026-06-01,2026-07-06,20260702_growme_EN_9x16_FX-EnglishReaders_ZT-learning-pic8_RS-P1X1R3C3_gy,active,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,1465,2.136519,3.13,,,,,,,,1.979522,0,,,,30,,
2026-06-01,2026-07-06,20260702_growme_EN_9x16_FX-Readers_ZT-learning-pic4_RS-P1X1R3C3_gy,active,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,2812,3.755334,10.56,4,2.64,,,,,,1.458037,0.10526316,,,,41,,
2026-06-01,2026-07-06,20260702_GrowMe_EN_4x5_FX-Women_ZT-Mindset-pic1_RS-P3X1R1C3_gy,active,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,3657,1.938748,7.09,7,1.012857,,,,,,3.199344,0.05982906,,,,120,,
2026-06-01,2026-07-06,"20260702_GrowMe_EN_4x5_FX-Professionals _ZT-SelfImprovement-pic5_RS-P3X1R1C3_fj",active,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,2581,0.821387,2.12,,,,,,,,1.859744,0,,,,48,,
2026-06-01,2026-07-06,20260702_GrowMe_EN_4x5_FX-Women_ZT-WomenEmpowerment-pic4_RS-P3X1R1C3_fj,inactive,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,10232,3.174355,32.48,9,3.608889,2,16.24,,,,3.000391,0.04245283,,,,235,,
2026-06-01,2026-07-06,20260702_GrowMe_EN_4x5_FX-Overthinkers_ZT-EmotionalHealth-pic1_RS-P3X1R1C3_fj,active,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,10871,1.009107,10.97,1,10.97,,,,,,3.18278,0.00289017,,,,363,,
2026-06-01,2026-07-06,20260702_GrowMe_EN_4x5_FX-Women_ZT-Mindset-pic2_RS-P3X1R1C3_fj,active,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,4853,1.370286,6.65,,,,,,,,3.173295,0,,,,157,,
2026-06-01,2026-07-06,20260702_GrowMe_EN_4x5_FX-Overthinkers_ZT-Mindset-pic3_RS-P3X1R1C3_fj,active,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,385,1.220779,0.47,,,,,,,,2.857143,0,,,,12,,
2026-06-01,2026-07-06,20260702_growme_EN_9x16_FX-Professionals_ZT-SelfImprovement-pic6_RS-P1X1R3C3_gy,active,,,,260703_AAA_AEO-Purchase_ios_pic_Growme_WW_0629week_joy,566,4.611307,2.61,,,,,,,,1.943463,0,,,,12,,
