报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",帖子评论数,帖文互动,结果（初始）,成效（初始）指标
2026-06-01,2026-07-06,20260703_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-peak_RS-P1X1R3C1_gy,active,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,332,1.89759,0.63,,,,,,,,0.903614,0,15.662651,2,,56,,
2026-06-01,2026-07-06,20260703_growme_EN_9x16_FX-SelfGrowth_ZT-Lifelessons-water_LV1-xinwen_RS-P1X1R3C1_gy,active,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,515,4,2.06,1,2.06,,,,,,0.194175,1,8.543689,3,,48,,
2026-06-01,2026-07-06,20260703_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-paper_RS-P1X1R3C1_gy,inactive,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,5462,2.826803,15.44,8,1.93,,,,,,1.135115,0.19047619,14.188942,44,,848,,
2026-06-01,2026-07-06,20260703_growme_EN_9x16_FX-SelfGrowth_ZT-Lifelessons-confidence_LV1-xinwen_RS-P1X1R3C1_gy,active,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,5480,2.793796,15.31,6,2.551667,,,,,,1.058394,0.15789474,8.50365,6,,515,,
2026-06-01,2026-07-06,20260703_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-practice_LV1-xinwen_RS-P1X1R3C1_gy,active,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,4402,4.248069,18.7,4,4.675,,,,,,1.067697,0.12903226,12.176284,23,1,581,,
2026-06-01,2026-07-06,20260703_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-reader_LV1-xinwen_RS-P1X1R3C1_gy,active,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,2499,4.137655,10.34,3,3.446667,,,,,,3.441377,0.03614458,17.967187,39,,536,,
2026-06-01,2026-07-06,20260703_growme_EN_9x16_FX-Overthinkers_ZT-Lifelessons-speed_LV1-xinwen_RS-P1X1R3C1_gy,active,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,89,3.146067,0.28,,,,,,,,0,,8.988764,,,8,,
2026-06-01,2026-07-06,20260703_GrowMe_EN_9x16_FX-EnglishLearners_ZT-LifeLessons-travel_RS-P3X1R1C3_fj,inactive,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,4125,4.126061,17.02,4,4.255,,,,,,1.309091,0.12121212,22.30303,72,,980,,
2026-06-01,2026-07-06,20260703_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-water_RS-P3X1R1C3_fj,active,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,773,6.287193,4.86,3,1.62,,,,,,1.423027,0.5,18.628719,14,,160,,
2026-06-01,2026-07-06,20260703_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-xinwen_RS-P1X1R3C1_gy,active,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,422,4.50237,1.9,,,,,,,,0,,11.374408,1,,49,,
2026-06-01,2026-07-06,20260703_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-slow_RS-P3X1R1C3_fj,inactive,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,9418,4.692079,44.19,13,3.399231,1,44.19,,,,1.751964,0.11111111,15.28987,95,,1613,,
2026-06-01,2026-07-06,20260703_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Mindset-money_RS-P1X1R3C3_fj,active,,,,260703_ABO_AEO-Purchase_ios_vid_Growme_WW_0703_joy,6375,4.073725,25.97,3,8.656667,,,,,,0.831373,0.125,20.611765,54,,1373,,
