report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,spend,ctr,custom_derived_metrics:334261784830934,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,基于展示次数的 3 秒视频播放率,video_completions,视频平均播放时长,结果（初始）,成效（初始）指标
2025-12-01,2026-08-31,20260708_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic3_RS-P1X1R3C3_gy,not_delivering,,,,260710_AAA_AEO-Purchase_ios_pic_Growme_WW_0710_图片组_joy,542,7.88,1.107011,0.33333333,1.0,7.88,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20260708_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic9_RS-P1X1R3C3_gy,not_delivering,,,,260710_AAA_AEO-Purchase_ios_pic_Growme_WW_0710_图片组_joy,453,5.09,2.207506,0.0,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20260708_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic5_RS-P1X1R3C3_gy,not_delivering,,,,260710_AAA_AEO-Purchase_ios_pic_Growme_WW_0710_图片组_joy,105,1.71,2.857143,0.0,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20260708_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic4_RS-P1X1R3C3_gy,not_delivering,,,,260710_AAA_AEO-Purchase_ios_pic_Growme_WW_0710_图片组_joy,676,8.74,0.887574,0.0,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20260708_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic1_RS-P1X1R3C3_gy,not_delivering,,,,260710_AAA_AEO-Purchase_ios_pic_Growme_WW_0710_图片组_joy,63,0.54,0.0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20260708_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic6_RS-P1X1R3C3_gy,not_delivering,,,,260710_AAA_AEO-Purchase_ios_pic_Growme_WW_0710_图片组_joy,87,0.71,0.0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20260708_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic2_RS-P1X1R3C3_gy,inactive,,,,260710_AAA_AEO-Purchase_ios_pic_Growme_WW_0710_图片组_joy,4189,46.29,2.076868,0.09090909,7.0,6.612857,1.0,46.29,,,,,,00:00:00,,
2025-12-01,2026-08-31,20260708_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic8_RS-P1X1R3C3_gy,not_delivering,,,,260710_AAA_AEO-Purchase_ios_pic_Growme_WW_0710_图片组_joy,184,2.49,1.630435,0.0,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20260708_growme_EN_4x5_FX-Professionals_ZT-SelfImprovement-pic8_RS-P1X1R3C3_gy,not_delivering,,,,260710_AAA_AEO-Purchase_ios_pic_Growme_WW_0710_图片组_joy,29,0.36,0.0,,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20260708_GrowMe_EN_4x5_FX-Women_ZT-WomenEmpowerment-pic3_RS-P3X4R1C3_fj,not_delivering,,,,260710_AAA_AEO-Purchase_ios_pic_Growme_WW_0710_图片组_joy,205,3.31,2.439024,0.0,,,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20260708_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic5_RS-P3X1R1C3_fj,inactive,,,,260710_AAA_AEO-Purchase_ios_pic_Growme_WW_0710_图片组_joy,2356,32.57,1.867572,0.13888889,5.0,6.514,,,,,,,,00:00:00,,
2025-12-01,2026-08-31,20260708_GrowMe_EN_4x5_FX-Women_ZT-WomenEmpowerment-pic4_RS-P3X1R1C3_fj,inactive,,,,260710_AAA_AEO-Purchase_ios_pic_Growme_WW_0710_图片组_joy,2038,33.52,3.091266,0.10526316,6.0,5.586667,,,,,,,,00:00:00,,
