报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率",帖子评论数,帖文互动,成效获得率,"视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning_RS-P3X1R1C3_fj,active,1,actions:app_custom_event.fb_mobile_purchase,17.49,260708_ABO_AEO-Purchase_ios_vid_Growme_WW_0706/0707_新形式_joy,6533,2.677177,17.49,4,4.3725,1,17.49,1,17.49,0.786164,0.826573,0.11428571,16.286545,,1114,0.0153069,406,,
2026-07-01,2026-07-13,20260706_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-water_RS-P3X1R1C3_fj,inactive,1,actions:app_custom_event.fb_mobile_purchase,155.58,260708_ABO_AEO-Purchase_ios_vid_Growme_WW_0706/0707_新形式_joy,46024,3.38041,155.58,36,4.321667,2,77.79,1,155.58,0.052513,0.873457,0.1978022,13.72762,,6707,0.00217278,294,,
2026-07-01,2026-07-13,20260707_growme_EN_9x16_FX-Readers_ZT-Atomic-woman_RS-P1X1R3C3_gy,inactive,2,actions:app_custom_event.fb_mobile_purchase,74.88,260708_ABO_AEO-Purchase_ios_vid_Growme_WW_0706/0707_新形式_joy,38629,3.87688,149.76,16,9.36,3,49.92,2,74.88,0.292001,0.799917,0.16666667,23.337389,1,9533,0.00517746,133,,
2026-07-01,2026-07-13,20260707_growme_EN_9x16_FX-EnglishReaders_ZT-learning-woman_RS-P1X1R3C3_gy,inactive,1,actions:app_custom_event.fb_mobile_purchase,96.28,260708_ABO_AEO-Purchase_ios_vid_Growme_WW_0706/0707_新形式_joy,27669,3.479707,96.28,35,2.750857,3,32.093333,1,96.28,0.387931,0.993892,0.1627907,21.796957,,6310,0.00361415,470,,
2026-07-01,2026-07-13,20260707_GrowMe_EN_9x16_FX-Women_ZT-Women-Learning_RS-P1X1R3C3_wxx,active,,,,260708_ABO_AEO-Purchase_ios_vid_Growme_WW_0706/0707_新形式_joy,2881,3.929191,11.32,1,11.32,,,,,,1.874349,0.01886792,21.867407,,690,,72,,
2026-07-01,2026-07-13,"20260707_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-that girl_RS-P3X1R1C3_fj",inactive,1,actions:app_custom_event.fb_mobile_purchase,78.94,260708_ABO_AEO-Purchase_ios_vid_Growme_WW_0706/0707_新形式_joy,23859,3.308605,78.94,15,5.262667,1,78.94,1,78.94,0.378009,0.532294,0.21428571,30.722159,,7463,0.00419129,1655,,
2026-07-01,2026-07-13,20260706_growme_EN_9x16_FX-EnglishReaders_ZT-learning-pink_RS-P1X1R3C3_gy,active,,,,260708_ABO_AEO-Purchase_ios_vid_Growme_WW_0706/0707_新形式_joy,95,3.894737,0.37,,,,,,,,3.157895,0,17.894737,,20,,3,,
2026-07-01,2026-07-13,20260706_GrowMe_EN_9x16_FX-SelfGrowth_ZT-aitalk-365_RS-P1X1R3C3_wxx,active,,,,260708_ABO_AEO-Purchase_ios_vid_Growme_WW_0706/0707_新形式_joy,7238,2.935894,21.25,1,21.25,,,,,,0.511191,0.03846154,12.240951,,933,,68,,
2026-07-01,2026-07-13,20260706_growme_EN_9x16_FX-EnglishReaders_ZT-learning-speak_RS-P1X1R3C3_gy,active,,,,260708_ABO_AEO-Purchase_ios_vid_Growme_WW_0706/0707_新形式_joy,750,4.786667,3.59,,,,,,,,1.333333,0,20.666667,,171,,10,,
2026-07-01,2026-07-13,20260706_growme_EN_9x16_FX-EnglishReaders_ZT-learning-read_RS-P1X1R3C3_gy,active,,,,260708_ABO_AEO-Purchase_ios_vid_Growme_WW_0706/0707_新形式_joy,765,2.509804,1.92,,,,,,,,0.784314,0,14.901961,,126,,5,,
2026-07-01,2026-07-13,20260706_GrowMe_EN_9x16_FX-SelfGrowth_ZT-aitalk-miscrolearn_RS-P1X1R3C3_wxx,inactive,,,,260708_ABO_AEO-Purchase_ios_vid_Growme_WW_0706/0707_新形式_joy,13846,2.497472,34.58,16,2.16125,1,34.58,,,,0.707786,0.18604651,12.624585,,1899,,167,,
