报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率",帖子评论数,帖文互动,成效获得率,"视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2026-07-01,2026-07-13,20260710_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-list_RS-P1X1R3C1_gy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0710新形式_joy,18742,1.924021,36.06,19,1.897895,2,18.03,,,,0.725643,0.18095238,13.194963,,2658,,152,,
2026-07-01,2026-07-13,20260710_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-speaker_RS-P1X1R3C1_gy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0710新形式_joy,1490,2.543624,3.79,1,3.79,,,,,,0.805369,0.125,14.362416,,228,,15,,
2026-07-01,2026-07-13,20260710_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-page_RS-P1X1R3C1_gy,inactive,5,actions:app_custom_event.fb_mobile_purchase,38.624,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0710新形式_joy,87550,2.205825,193.12,88,2.194545,11,17.556364,5,38.624,0.690296,0.871502,0.16730038,11.384352,,10837,0.00571102,562,,
2026-07-01,2026-07-13,20260710_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-thatgirl_RS-P3X1R1C3_fj,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0710新形式_joy,163,3.92638,0.64,,,,,,,,0,,10.429448,,17,,2,,
2026-07-01,2026-07-13,"20260710_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-love yourself_RS-P3X1R1C3_fj",inactive,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0710新形式_joy,10917,2.791976,30.48,16,1.905,,,,,,0.659522,0.30188679,8.225703,,990,,40,,
2026-07-01,2026-07-13,20260710_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-train_RS-P3X1R1C3_fj,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0710新形式_joy,15943,4.117795,65.65,11,5.968182,,,,,,0.903218,0.12222222,13.378912,,2296,,87,,
2026-07-01,2026-07-13,20260710_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-hua_RS-P1X1R3C1_gy,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0710新形式_joy,162,3.641975,0.59,,,,,,,,1.851852,0,25.925926,,45,,7,,
2026-07-01,2026-07-13,"20260710_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-that girl_RS-P3X1R1C3_LV1-background_fj",active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0710新形式_joy,923,1.646804,1.52,,,,,,,,1.191766,0,20.910076,,203,,43,,
2026-07-01,2026-07-13,20260710_growme_EN_9x16_FX-EnglishLearners_ZT-VP-english-1_RS-P1X1R3C3_wxx,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0710新形式_joy,281,5.19573,1.46,,,,,,,,0,,23.131673,,65,,2,,
2026-07-01,2026-07-13,20260710_GrowMe_EN_9x16_FX-Women_ZT-SelfGrowth-Learning_RS-P1X1R3C3_wxx,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0710新形式_joy,146,2.534247,0.37,,,,,,,,0,,23.972603,,36,,5,,
2026-07-01,2026-07-13,20260710_GrowMe_EN_9x16_01_FX-SelfGrowth_ZT-Learning-history_RS-P1X1R3C3_wxx,inactive,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0710新形式_joy,14482,2.831791,41.01,12,3.4175,1,41.01,,,,1.015053,0.15,15.550338,,2369,,151,,
2026-07-01,2026-07-13,20260710_growme_EN_9x16_FX-EnglishLearners_ZT-VP-english-4_RS-P1X1R3C3_wxx,active,,,,260710_ABO_AEO-Purchase_ios_vid_Growme_WW_0710新形式_joy,23,1.73913,0.04,,,,,,,,0,,21.73913,,5,,,,
