report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,spend,ctr,custom_derived_metrics:334261784830934,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,基于展示次数的 3 秒视频播放率,video_completions,视频平均播放时长,结果（初始）,成效（初始）指标
2025-12-01,2026-08-31,20260713_growme_EN_9x16_FX-SelfGrowth_ZT-Learning_RS-P1X1R1C1_CN_095KB_RMG-6284A,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_07130714new_joy,11826,43.97,1.183832,0.18604651,16.0,2.748125,,,,,,19.034331,116.0,3,,
2025-12-01,2026-08-31,20260713_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-that girl_RS-P3X1R1C3_fj,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_07130714new_joy,10012,17.81,0.439473,0.11538462,3.0,5.936667,,,,,,21.494207,409.0,2,,
2025-12-01,2026-08-31,20260713_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-track_RS-P3X1R1C3_fj,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_07130714new_joy,11285,32.35,0.770935,0.16981132,9.0,3.594444,1.0,32.35,,,,8.418254,52.0,2,,
2025-12-01,2026-08-31,20260713_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-friendf_RS-P3X1R1C3_fj,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_07130714new_joy,12056,30.32,1.00365,0.06504065,8.0,3.79,,,,,,8.501991,63.0,2,,
2025-12-01,2026-08-31,20260713_growme_EN_9x16_FX-EnglishLearners_ZT-VP-readingchallenge_RS-P1X1R3C3_wxx,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_07130714new_joy,11031,27.84,0.634575,0.01470588,1.0,27.84,,,,,,27.894117,112.0,5,,
2025-12-01,2026-08-31,20260713_GrowMe_EN_9x16_FX-Women_ZT-SelfGrowth-Learning_RS-P1X1R3C3_wxx,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_07130714new_joy,15217,27.35,0.545443,0.05660377,3.0,9.116667,,,,,,21.857133,477.0,3,,
2025-12-01,2026-08-31,20260714_growme_EN_9x16_FX-EnglishLearners_ZT-VP-goodscore_RS-P1X1R3C3_wxx,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_07130714new_joy,11136,32.97,1.131466,0.06504065,8.0,4.12125,,,,,,27.388649,109.0,4,,
2025-12-01,2026-08-31,20260714_growme_EN_9x16_FX-EnglishLearners_ZT-VP-badscore_RS-P1X1R3C3_wxx,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_07130714new_joy,8431,29.49,1.269126,0.00980392,1.0,29.49,,,,,,34.396869,101.0,6,,
2025-12-01,2026-08-31,20260714_GrowMe_EN_9x16_FX-Women_ZT-SelfGrowth-47_RS-P1X1R3C3_wxx,not_delivering,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_07130714new_joy,350,1.05,0.285714,,,,,,,,,15.428571,6.0,4,,
2025-12-01,2026-08-31,20260714_GrowMe_EN_9x16_01_FX-SelfGrowth_ZT-Reading-girl_RS-P1X1R3C3_wxx,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_07130714new_joy,10501,32.86,0.676126,0.06060606,2.0,16.43,,,,,,28.016379,83.0,4,,
