report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,spend,ctr,custom_derived_metrics:334261784830934,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,基于展示次数的 3 秒视频播放率,video_completions,视频平均播放时长,结果（初始）,成效（初始）指标
2025-12-01,2026-08-31,20260714_GrowMe_EN_9x16_FX-Students_ZT-Habits_RS-P1X1R3C3_aitool_cty,inactive,1.0,actions:app_custom_event.fb_mobile_purchase,83.1,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_old1_joy,62564,83.1,1.329838,0.03483309,24.0,3.4625,1.0,83.1,1.0,83.1,0.293863,18.162202,201.0,12,,
2025-12-01,2026-08-31,20260714_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Growth_RS-P1X1R3C3_aitool_cty,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_old1_joy,15924,21.32,1.055011,0.07865169,7.0,3.045714,,,,,,19.662145,40.0,11,,
2025-12-01,2026-08-31,20260714_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset_RS-P1X1R3C3_aitool_cty,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_old1_joy,10929,14.92,1.061396,0.0483871,3.0,4.973333,,,,,,20.276329,78.0,13,,
2025-12-01,2026-08-31,20260713_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Growth_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_old1_joy,51,0.09,0.0,,,,,,,,,7.843137,1.0,4,,
2025-12-01,2026-08-31,20260713_GrowMe_EN_9x16_FX-Professionals_ZT-Communication_RS-P1X1R3C3_aitool_cty,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_old1_joy,10280,19.19,1.459144,0.12068966,14.0,1.370714,,,,,,14.289883,44.0,10,,
2025-12-01,2026-08-31,20260713_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Finance_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_old1_joy,75,0.1,1.333333,,,,,,,,,17.333333,,13,,
2025-12-01,2026-08-31,20260713_GrowMe_EN_9x16_FX-Readers_ZT-Habits_RS-P1X1R3C3_aitool_cty,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_old1_joy,13112,17.72,0.915192,0.03389831,2.0,8.86,,,,,,17.030201,66.0,9,,
2025-12-01,2026-08-31,20260713_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Habits-2_RS-P1X1R3C3_aitool_cty,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_old1_joy,11691,19.15,1.984432,0.02515723,4.0,4.7875,,,,,,18.758019,144.0,11,,
2025-12-01,2026-08-31,20260713_GrowMe_EN_9x16_FX-Students_ZT-Growth_RS-P1X1R3C3_aitool_cty,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_old1_joy,13090,21.66,1.252865,0.03846154,5.0,4.332,,,,,,13.980138,143.0,7,,
2025-12-01,2026-08-31,20260714_GrowMe_EN_9x16_FX-EnglishLearners_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_old1_joy,492,0.61,1.626016,0.0,,,,,,,,25.0,3.0,16,,
2025-12-01,2026-08-31,20260713_GrowMe_EN_9x16_FX-Women_ZT-WomenEmpowerment_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_old1_joy,111,0.18,2.702703,0.0,,,,,,,,20.720721,2.0,16,,
2025-12-01,2026-08-31,20260713_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Habits_RS-P1X1R3C3_aitool_cty,inactive,,,,260715_ABO_AEO-Purchase_ios_vid_Growme_WW_old1_joy,17800,28.54,1.11236,0.0794702,12.0,2.378333,,,,,,15.331461,133.0,10,,
