report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,hook_rate,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-07-27,20260720_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-pic_RS-P1X1R3C3_fj,inactive,1.0,actions:app_custom_event.fb_mobile_purchase,37.42,260722_ABO_AEO-Purchase_ios_vid_Growme_WW_新形式1_joy,16040,2.332918,37.42,33.0,1.133939,1.0,37.42,1.0,37.42,0.177445,1.552369,0.23571429,10.629676,,1960.0,0.00623441,52.0,,
2025-12-01,2026-07-27,20260722_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic3_RS-P1X1R3C3_gy,active,,,,260723_AAA_AEO-Purchase_ios_pic_Growme_WW_0720周图片_joy,478,2.719665,1.3,,,,,,,,1.25523,0.0,,,8.0,,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic10_RS-P3X1R1C3_fj,inactive,,,,260723_AAA_AEO-Purchase_ios_pic_Growme_WW_0720周图片_joy,10929,3.780767,41.32,11.0,3.756364,,,,,,1.409095,0.07857143,,,167.0,,,,
2025-12-01,2026-07-27,20260722_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic2_RS-P1X1R3C3_gy,active,,,,260723_AAA_AEO-Purchase_ios_pic_Growme_WW_0720周图片_joy,228,1.403509,0.32,,,,,,,,1.754386,0.0,,,4.0,,,,
2025-12-01,2026-07-27,20260722_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic6_RS-P1X1R3C3_gy,active,,,,260723_AAA_AEO-Purchase_ios_pic_Growme_WW_0720周图片_joy,2302,2.806255,6.46,2.0,3.23,,,,,,2.041703,0.04651163,,,52.0,,,,
2025-12-01,2026-07-27,20260723_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-pic_RS-P1X1R3C3_fj,active,,,,260724_AAA_AEO-Purchase_ios_vid_Growme_US_新形式_joy,39,16.666667,0.65,,,,,,,,2.564103,0.0,15.384615,,9.0,,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic11_RS-P3X1R1C3_fj,inactive,,,,260723_AAA_AEO-Purchase_ios_pic_Growme_WW_0720周图片_joy,13483,2.443818,32.95,32.0,1.029688,1.0,32.95,,,,2.136023,0.13389121,,,349.0,,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic13_RS-P3X1R1C3_fj,active,,,,260723_AAA_AEO-Purchase_ios_pic_Growme_WW_0720周图片_joy,190,1.631579,0.31,,,,,,,,3.684211,0.0,,,7.0,,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic8_RS-P3X1R1C3_fj,active,,,,260723_AAA_AEO-Purchase_ios_pic_Growme_WW_0720周图片_joy,478,1.861925,0.89,,,,,,,,2.09205,0.0,,,12.0,,,,
2025-12-01,2026-07-27,20260722_growme_EN_9x16_FX-EnglishReaders_ZT-learning-pic10_RS-P1X1R3C3_gy,inactive,3.0,actions:app_custom_event.fb_mobile_purchase,39.73333333,260723_AAA_AEO-Purchase_ios_pic_Growme_WW_0720周图片_joy,98963,1.204491,119.2,76.0,1.568421,4.0,29.8,3.0,39.733333,0.615017,1.820883,0.04497041,,,1945.0,0.00303144,,,
2025-12-01,2026-07-27,20260722_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic8_RS-P1X1R3C3_gy,active,,,,260723_AAA_AEO-Purchase_ios_pic_Growme_WW_0720周图片_joy,7392,1.592262,11.77,6.0,1.961667,,,,,,2.678571,0.03108808,,,208.0,,,,
2025-12-01,2026-07-27,20260722_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic7_RS-P1X1R3C3_gy,active,,,,260723_AAA_AEO-Purchase_ios_pic_Growme_WW_0720周图片_joy,94,1.382979,0.13,,,,,,,,2.12766,0.0,,,2.0,,,,
2025-12-01,2026-07-27,20260722_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic5_RS-P1X1R3C3_gy,active,,,,260723_AAA_AEO-Purchase_ios_pic_Growme_WW_0720周图片_joy,918,2.11329,1.94,,,,,,,,2.069717,0.0,,,16.0,,,,
2025-12-01,2026-07-27,20260722_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic1_RS-P1X1R3C3_gy,active,,,,260723_AAA_AEO-Purchase_ios_pic_Growme_WW_0720周图片_joy,1703,2.014093,3.43,1.0,3.43,,,,,,1.996477,0.03448276,,,33.0,,,,
2025-12-01,2026-07-27,20260722_growme_EN_4x5_FX-EnglishReaders_ZT-learning-pic4_RS-P1X1R3C3_gy,active,1.0,actions:app_custom_event.fb_mobile_purchase,100.66,260723_AAA_AEO-Purchase_ios_pic_Growme_WW_0720周图片_joy,52997,1.899353,100.66,47.0,2.141702,3.0,33.553333,1.0,100.66,0.314127,1.547257,0.07004471,,,829.0,0.0018869,,,
2025-12-01,2026-07-27,20260722_GrowMe_EN_4x5_FX-SelfGrowth _ZT- Learning-pic12_RS-P3X1R1C3_fj,inactive,,,,260723_AAA_AEO-Purchase_ios_pic_Growme_WW_0720周图片_joy,10761,2.649382,28.51,6.0,4.751667,,,,,,1.728464,0.04026846,,,188.0,,,,
