report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,hook_rate,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-07-27,20260720_GrowMe_EN_9x16_FX-Readers_ZT-Discipline_RS-P1X1R3C3_aitool_cty,inactive,,,,260721_ABO_AEO-Purchase_ios_vid_Growme_WW_文案1_joy,56370,0.82331,46.41,18.0,2.578333,,,,,,0.855065,0.07058824,10.972148,,6659.0,,170.0,,
2025-12-01,2026-07-27,20260720_GrowMe_EN_9x16_FX-Overthinkers_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_cty,inactive,,,,260721_ABO_AEO-Purchase_ios_vid_Growme_WW_文案1_joy,13016,1.538875,20.03,5.0,4.006,,,,,,0.606945,0.12195122,14.059619,,1952.0,,138.0,,
2025-12-01,2026-07-27,20260720_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260721_ABO_AEO-Purchase_ios_vid_Growme_WW_文案1_joy,913,0.470975,0.43,,,,,,,,0.766703,0.0,11.062432,,106.0,,,,
2025-12-01,2026-07-27,20260720_GrowMe_EN_9x16_FX-Overthinkers_ZT-Focus_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260721_ABO_AEO-Purchase_ios_vid_Growme_WW_文案1_joy,233,0.472103,0.11,,,,,,,,0.858369,,12.446352,,29.0,,1.0,,
2025-12-01,2026-07-27,20260720_GrowMe_EN_9x16_FX-Readers_ZT-Habits_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260721_ABO_AEO-Purchase_ios_vid_Growme_WW_文案1_joy,1172,1.587031,1.86,,,,,,,,0.511945,0.0,19.112628,,234.0,,7.0,,
2025-12-01,2026-07-27,20260720_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning_RS-P1X1R3C3_aitool_cty,inactive,,,,260721_ABO_AEO-Purchase_ios_vid_Growme_WW_文案1_joy,13406,2.009548,26.94,6.0,4.49,1.0,26.94,,,,1.193495,0.04444444,15.284201,,2255.0,,87.0,,
2025-12-01,2026-07-27,20260720_GrowMe_EN_9x16_FX-Women_ZT-WomenEmpowerment_RS-P1X1R3C3_aitool_cty,inactive,,,,260721_ABO_AEO-Purchase_ios_vid_Growme_WW_文案1_joy,50037,0.926315,46.35,13.0,3.565385,,,,,,0.833383,0.04924242,10.923916,,5925.0,,101.0,,
2025-12-01,2026-07-27,20260720_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement_RS-P1X1R3C3_aitool_cty,inactive,,,,260721_ABO_AEO-Purchase_ios_vid_Growme_WW_文案1_joy,9104,0.689807,6.28,1.0,6.28,,,,,,0.593146,0.02941176,7.634007,,761.0,,14.0,,
2025-12-01,2026-07-27,20260720_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-LifeLessons_RS-P1X1R3C3_aitool_cty,inactive,,,,260721_ABO_AEO-Purchase_ios_vid_Growme_WW_文案1_joy,18914,0.356879,6.75,,,,,,,,0.58158,0.0,10.870255,,2156.0,,49.0,,
2025-12-01,2026-07-27,20260720_GrowMe_EN_9x16_FX-SelfGrowth_ZT-LifeLessons_RS-P1X1R3C3_aitool_cty,inactive,,,,260721_ABO_AEO-Purchase_ios_vid_Growme_WW_文案1_joy,27690,0.37017,10.25,1.0,10.25,,,,,,0.570603,0.01123596,6.959191,,2057.0,,50.0,,
