report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,基于展示次数的 3 秒视频播放率,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-track-rain_RS-P3X1R1C3_fj,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,24133,3.993287,96.37,41.0,2.350488,,,,,,1.073219,0.24550898,14.938052,,4023.0,,262.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-track-ai_RS-P3X1R1C3_fj,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,11751,4.975747,58.47,42.0,1.392143,,,,,,1.412646,0.24418605,27.68275,,3556.0,,198.0,,
2025-12-01,2026-08-26,20260727_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-B1_RS-P1X1R3C1_gy,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,4925,3.68731,18.16,3.0,6.053333,,,,,,0.913706,0.07894737,20.568528,,1070.0,,53.0,,
2025-12-01,2026-08-26,20260727_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-slow_RS-P1X1R3C1_gy,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,13369,3.331588,44.54,5.0,8.908,,,,,,1.189319,0.03496503,23.584412,,3393.0,,287.0,,
2025-12-01,2026-08-26,20260727_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-level_RS-P1X1R3C3_wxx,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,345,3.681159,1.27,,,,,,,,0.289855,0.0,19.130435,,69.0,,6.0,,
2025-12-01,2026-08-26,20260727_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-listen1_RS-P1X1R3C1_gy,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,12132,4.713155,57.18,38.0,1.504737,,,,,,1.335312,0.27737226,14.746126,,2062.0,,230.0,,
2025-12-01,2026-08-26,20260728_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Lifelessons-confidence_RS-P3X1R1C3_gy,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,3119,3.116383,9.72,,,,,,,,0.384739,0.0,15.742225,,527.0,,36.0,,
2025-12-01,2026-08-26,20260728_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-shadow_RS-P1X1R3C1_gy,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,1613,5.263484,8.49,,,,,,,,0.805952,0.0,12.709237,,220.0,,22.0,,
2025-12-01,2026-08-26,20260728_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-game_RS-P1X1R3C1_gy,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,1381,4.648805,6.42,1.0,6.42,,,,,,0.57929,0.11111111,15.930485,,231.0,,37.0,,
2025-12-01,2026-08-26,20260729_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-A2_RS-P1X1R3C3_wxx,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,3433,7.290999,25.03,1.0,25.03,,,,,,1.281678,0.025,26.536557,,974.0,,67.0,,
2025-12-01,2026-08-26,20260729_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-A2-1_RS-P1X1R3C3_wxx,inactive,2.0,actions:app_custom_event.fb_mobile_purchase,60.995,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,35934,3.394835,121.99,30.0,4.066333,2.0,60.995,2.0,60.995,0.381589,0.996271,0.08902077,11.855068,,4732.0,0.00556576,247.0,,
2025-12-01,2026-08-26,20260728_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-speak_RS-P1X1R3C3_wxx,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,746,2.158177,1.61,,,,,,,,0.80429,0.0,11.126005,,93.0,,6.0,,
2025-12-01,2026-08-26,20260729_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-wenan_RS-P1X1R3C1_gy,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,1651,1.677771,2.77,1.0,2.77,,,,,,0.302847,0.25,11.932162,,205.0,,18.0,,
2025-12-01,2026-08-26,20260729_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-read_RS-P1X1R3C1_gy,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,14119,3.794178,53.57,16.0,3.348125,,,,,,1.01282,0.14035088,13.322473,,2086.0,,131.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-EnglishLearners_ZT- learning-c1-pic_RS-P3X1R1C3_fj,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,6292,2.914812,18.34,6.0,3.056667,,,,,,1.033058,0.11764706,16.910362,,1156.0,,38.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-EnglishLearners_ZT- learning-dream_RS-P3X1R1C3_fj,inactive,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,14665,4.012956,58.85,5.0,11.77,,,,,,0.702353,0.0625,13.890215,,2198.0,,53.0,,
2025-12-01,2026-08-26,20260729_GrowMe_EN_9x16_FX-EnglishLearners_ZT- learning-b1_RS-P3X1R1C3_fj,inactive,3.0,actions:app_custom_event.fb_mobile_purchase,83.17,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,69143,3.608608,249.51,79.0,3.158354,5.0,49.902,3.0,83.17,0.243958,1.107849,0.11861862,12.598528,,9694.0,0.00433883,382.0,,
2025-12-01,2026-08-26,20260729_growme_EN_9x16_FX-Reader_ZT-Learning-houtie_RS-P1X1R3C3_wxx,not_delivering,,,,260731_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0729/0730_joy,10,0.0,0.0,,,,,,,,0.0,,10.0,,1.0,,,,
