report_start,report_end,ad_name,广告投放,成效,成效指标,单次成效费用,account,impressions,CPM（千次展示费用） (USD),spend,installs,单次应用安装费用 (USD),subscriptions,单次订阅费用 (USD),purchases,单次购物费用 (USD),roas,ctr,custom_derived_metrics:334261784830934,基于展示次数的 3 秒视频播放率,帖子评论数,帖文互动,成效获得率,video_completions,结果（初始）,成效（初始）指标
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning_RS-P1X1R3C3_aitool_cty,inactive,1.0,actions:app_custom_event.fb_mobile_purchase,45.31,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,19742,2.295107,45.31,13.0,3.485385,1.0,45.31,1.0,45.31,0.334584,0.678756,0.13684211,14.963023,1.0,3182.0,0.00506534,100.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Students_ZT-Learning_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,99,1.616162,0.16,,,,,,,,0.0,,12.121212,,12.0,,,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Focus_RS-P1X1R3C3_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,12955,3.236588,41.93,5.0,8.386,,,,,,0.964878,0.04347826,15.067541,,2129.0,,49.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Overthinkers_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,8,3.75,0.03,,,,,,,,0.0,,37.5,,3.0,,,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Students_ZT-Mindset_RS-P1X1R3C3_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,6648,2.184116,14.52,7.0,2.074286,,,,,,0.541516,0.29166667,16.696751,,1177.0,,28.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-FinanceSeekers_ZT-Finance_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,185,2.594595,0.48,,,,,,,,0.540541,0.0,15.135135,,30.0,,1.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Professionals_ZT-Growth_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,61,5.245902,0.32,,,,,,,,1.639344,,27.868852,,18.0,,,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Overthinkers_ZT-Mindset_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,241,2.946058,0.71,,,,,,,,0.829876,0.0,19.917012,,51.0,,,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-2_RS-P1X1R3C3_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,7356,3.231376,23.77,8.0,2.97125,,,,,,0.815661,0.18181818,17.060903,,1352.0,,46.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement-2_RS-P1X1R3C3_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,6534,3.533823,23.09,,,,,,,,0.887665,0.0,16.161616,,1141.0,,37.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Readers_ZT-Habits_RS-P1X1R3C3_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,7527,3.246978,24.44,3.0,8.146667,,,,,,0.451707,0.16666667,15.690182,,1257.0,,54.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,224,3.75,0.84,,,,,,,,0.892857,0.0,12.5,,30.0,,1.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Professionals_ZT-Growth-2_RS-P1X1R3C3_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,4116,4.747328,19.54,2.0,9.77,,,,,,1.141885,0.04761905,19.436346,,877.0,,18.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Readers_ZT-BookReading-2_RS-P1X1R3C3_aitool_cty,inactive,2.0,actions:app_custom_event.fb_mobile_purchase,53.22,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,32040,3.322097,106.44,20.0,5.322,2.0,53.22,2.0,53.22,0.284386,0.621099,0.13422819,15.917603,2.0,5404.0,0.0062422,171.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Women_ZT-EmotionalHealth_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,12,10.833333,0.13,,,,,,,,0.0,,8.333333,,1.0,,,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Professionals_ZT-Communication_RS-P1X1R3C3_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,7461,3.384265,25.25,2.0,12.625,,,,,,1.179467,0.02898551,16.472323,,1345.0,,59.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Discipline_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,527,2.163188,1.14,,,,,,,,0.56926,0.0,16.698292,1.0,96.0,,6.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Women_ZT-WomenEmpowerment_RS-P1X1R3C3_aitool_cty,not_delivering,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,252,3.412698,0.86,,,,,,,,0.396825,0.0,17.460317,,47.0,,3.0,,
2025-12-01,2026-08-26,20260727_GrowMe_EN_9x16_FX-Readers_ZT-BookReading_RS-P1X1R3C3_aitool_cty,inactive,,,,260729_ABO_AEO-Purchase_ios_vid_Growme_mexbra_0727/0728_joy,6691,2.764908,18.5,,,,,,,,0.762218,0.0,14.108504,,1029.0,,47.0,,
