报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"基于展示次数的 3 秒视频播放率",帖子评论数,帖文互动,成效获得率,"视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2026-07-11,2026-08-09,20260803_growme_EN_9x16_FX-test_ZT-listen_RS-P1X1R1C1_wxx_CN_095KB_RMG-7314B,active,,,,260805_AAA_AEO-Purchase_ios_vid_Growme_T1_0803week_english1_joy,38,16.315789,0.62,,,,,,,,0,,31.578947,,12,,1,,
2026-07-11,2026-08-09,20260803_growme_EN_9x16_FX-EnglishLearners_ZT-Learning_RS-P1X1R1C1_gy_CN_095KB_RMG-7314A,inactive,,,,260805_AAA_AEO-Purchase_ios_vid_Growme_T1_0803week_english1_joy,17772,8.646185,153.66,46,3.340435,5,30.732,,,,1.693675,0.32857143,26.676795,,5059,,181,,
2026-07-11,2026-08-09,20260803_growme_EN_9x16_FX-test_ZT-listen_RS-P1X1R1C1_wxx_CN_095KB_RMG-7314,inactive,,,,260805_AAA_AEO-Purchase_ios_vid_Growme_T1_0803week_english1_joy,9077,10.367963,94.11,40,2.35275,3,31.37,,,,1.850832,0.38461538,32.345489,,3225,,130,,
2026-07-11,2026-08-09,20260803_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-track-game_RS-P3X1R1C3_fj,active,,,,260805_AAA_AEO-Purchase_ios_vid_Growme_T1_0803week_english1_joy,1,10,0.01,,,,,,,,0,,100,,1,,,,
2026-07-11,2026-08-09,20260803_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Learning-track-page_RS-P3X1R1C3_fj,inactive,,,,260805_AAA_AEO-Purchase_ios_vid_Growme_T1_0803week_english1_joy,3429,9.125109,31.29,9,3.476667,,,,,,1.54564,0.25714286,15.106445,,576,,33,,
2026-07-11,2026-08-09,20260803_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-slow_RS-P1X1R3C3_wxx,inactive,,,,260805_AAA_AEO-Purchase_ios_vid_Growme_T1_0803week_english1_joy,3740,11.307487,42.29,2,21.145,1,42.29,,,,1.84492,0.08695652,24.197861,,950,,19,,
2026-07-11,2026-08-09,20260803_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Habits_RS-P1X1R3C3_aitool_cty,active,,,,260805_AAA_AEO-Purchase_ios_vid_Growme_T1_0803week_english1_joy,45,12.222222,0.55,,,,,,,,0,,15.555556,,7,,1,,
2026-07-11,2026-08-09,20260727_growme_EN_9x16_FX-EnglishLearners_ZT-Learning_LVL1-VoxPop_RS-P1X1R3C3_pingme_ZYL,active,,,,260805_AAA_AEO-Purchase_ios_vid_Growme_T1_0803week_english1_joy,22,17.272727,0.38,,,,,,,,13.636364,0,27.272727,,9,,,,
2026-07-11,2026-08-09,20260727_growme_EN_9x16_FX-EnglishLearners_ZT-Learning_LVL1-VoxPop_RS-P1X1R3C3_pingme_YZY,active,,,,260805_AAA_AEO-Purchase_ios_vid_Growme_T1_0803week_english1_joy,32,47.5,1.52,,,,,,,,9.375,0,34.375,,14,,1,,
2026-07-11,2026-08-09,"20260727_growme_EN_9x16_FX-Readers_ZT-BookReading_LVL1-Page turning_RS-P1X1R3C3_pingme_WPL (1)",inactive,,,,260805_AAA_AEO-Purchase_ios_vid_Growme_T1_0803week_english1_joy,3559,13.425119,47.78,13,3.675385,,,,,,1.545378,0.29545455,14.835628,,594,,52,,
2026-07-11,2026-08-09,20260727_growme_EN_9x16_FX-EnglishLearners_ZT-Learning_LVL1-Poster_RS-P1X1R3C3_pingme_ZL,active,,,,260805_AAA_AEO-Purchase_ios_vid_Growme_T1_0803week_english1_joy,313,12.236422,3.83,,,,,,,,1.277955,0,18.210863,,61,,4,,
2026-07-11,2026-08-09,"20260727_growme_EN_9x16_FX-Stundents_ZT-Learning_LVL1-AI 机器人_RS-P1X1R3C3_pingme_ZYL",active,,,,260805_AAA_AEO-Purchase_ios_vid_Growme_T1_0803week_english1_joy,9,7.777778,0.07,,,,,,,,0,,11.111111,,1,,,,
2026-07-11,2026-08-09,20260727_growme_EN_9x16_FX-Professionals_ZT-Growth_LVL1-VoxPop_RS-P1X1R3C3_pingme_SZH,active,,,,260805_AAA_AEO-Purchase_ios_vid_Growme_T1_0803week_english1_joy,40,11,0.44,,,,,,,,0,,22.5,,9,,,,
2026-07-11,2026-08-09,20260727_growme_EN_9x16_FX-Professionals_ZT-Growth_LVL1-VoxPop_RS-P1X1R3C3_pingme_BJY,active,,,,260805_AAA_AEO-Purchase_ios_vid_Growme_T1_0803week_english1_joy,14,7.857143,0.11,,,,,,,,0,,28.571429,,4,,,,
2026-07-11,2026-08-09,20260804_GrowMe_EN_9x16_FX-EnglishLearners_ZT-Mood_RS-P1X1R3C3_aitool_cty,inactive,,,,260805_AAA_AEO-Purchase_ios_vid_Growme_T1_0803week_english1_joy,3524,11.293984,39.8,12,3.316667,,,,,,1.560726,0.30769231,17.480136,,682,,37,,
