报告开始日期,报告结束日期,广告名称,广告投放,归因设置,成效,成效指标,单次成效费用,广告组预算,广告组预算类型,"已花费金额 (USD)",展示次数,覆盖人数,广告组名称,订阅次数,"单次订阅费用 (USD)",应用安装量,"单次应用安装费用 (USD)"
2026-07-11,2026-08-10,20260806_growme_EN_4x5_FX-Women_ZT-Growth-pic8_RS-P1X1R3C3_gy.jpg,active,"点击后 1 天内",,,,100,单日预算,0.08,10,10,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,,
2026-07-11,2026-08-10,20260806_growme_EN_4x5_FX-Selfgrowth_ZT-Growth-pic2_RS-P1X1R3C3_gy.jpg,active,"点击后 1 天内",,,,100,单日预算,26.94,2869,2613,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,2,13.47,3,8.98
2026-07-11,2026-08-10,20260806_growme_EN_4x5_FX-Selfgrowth_ZT-Growth-pic3_RS-P1X1R3C3_gy.jpg,active,"点击后 1 天内",,,,100,单日预算,15.36,1164,1053,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,,
2026-07-11,2026-08-10,20260804_growme_EN_9x16_FX-Readers_ZT-learning-pic6_RS-P1X1R3C3_LJQ,active,"点击后 1 天内",,,,100,单日预算,0.09,9,9,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,,
2026-07-11,2026-08-10,20260807_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement_RS-P3X1R1C3_fj,active,"点击后 1 天内",,,,100,单日预算,4.62,151,140,260807_AAA_AEO-Purchase_ios_vid_Growme_T1_0807highvalue_joy,,,,
2026-07-11,2026-08-10,20260807_growme_EN_9x16_FX-Readers_ZT-BookReading-app_RS-P1X1R3C3_gy,inactive,"点击后 1 天内",,,,100,单日预算,25.59,2114,1830,260807_AAA_AEO-Purchase_ios_vid_Growme_T1_0807highvalue_joy,,,1,25.59
2026-07-11,2026-08-10,"20260806_growme_EN_9x16_FX-SelfGrowth _ZT-Growth-IQ_RS-P1X1R3C3_gy",inactive,"点击后 1 天内",,,,100,单日预算,33.24,3061,2872,260807_AAA_AEO-Purchase_ios_vid_Growme_T1_0807highvalue_joy,,,3,11.08
2026-07-11,2026-08-10,"20260806_growme_EN_9x16_FX-SelfGrowth _ZT-Growth-siste_RS-P1X1R3C3_gy",inactive,"点击后 1 天内",,,,100,单日预算,33.27,3010,2780,260807_AAA_AEO-Purchase_ios_vid_Growme_T1_0807highvalue_joy,,,2,16.635
2026-07-11,2026-08-10,"20260806_growme_EN_9x16_FX-SelfGrowth _ZT-Growth-siste_RS-P1X1R3C3_gy",inactive,"点击后 1 天内",,,,100,单日预算,35.38,2798,2674,260807_AAA_AEO-Purchase_ios_vid_Growme_T1_0807highvalue_joy,,,1,35.38
2026-07-11,2026-08-10,20260806_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement-IQ_RS-P3X1R1C3_fj,not_delivering,"点击后 1 天内",,,,100,单日预算,0,0,0,260807_AAA_AEO-Purchase_ios_vid_Growme_T1_0807highvalue_joy,,,,
2026-07-11,2026-08-10,20260807_growme_EN_9x16_FX-Readers_ZT-BookReading-driving_RS-P1X1R3C3_gy,inactive,"点击后 1 天内",,,,100,单日预算,40.66,3411,2977,260807_AAA_AEO-Purchase_ios_vid_Growme_T1_0807highvalue_joy,,,4,10.165
2026-07-11,2026-08-10,20260806_GrowMe_EN_9x16_FX-SelfGrowth_ZT-SelfImprovement-tt_RS-P3X1R1C3_fj,inactive,"点击后 1 天内",,,,100,单日预算,61.52,3828,3274,260807_AAA_AEO-Purchase_ios_vid_Growme_T1_0807highvalue_joy,1,61.52,3,20.506667
2026-07-11,2026-08-10,20260804_growme_EN_9x16_FX-Readers_ZT-Habits-pic6_RS-P1X1R3C3_Sherry,active,"点击后 1 天内",,,,100,单日预算,0.15,8,8,260807_AAA_AEO-Purchase_ios_pic_Growme_T1_高价值图片_joy,,,,
