报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2026-06-01,2026-06-18,20260612_growme_EN_9x16_FX-LifeLessons_ZT-jounrey_RS-P1X1R3C3_wxx,active,,,,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,506,2.233202,1.13,,,,,,,,2.371542,0,16.996047,5,,
2026-06-01,2026-06-18,20260612_growme_EN_9x16_FX-LifeLessons_ZT-patience_RS-P1X1R3C3_wxx,active,,,,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,1399,1.958542,2.74,1,2.74,,,,,,1.644031,0.06666667,15.153681,10,,
2026-06-01,2026-06-18,"20260611_GrowMe_EN_9x16_FX-Learning_ZT-Reading habits_RS-P3X1R1C3_fj",active,,,,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,2355,2.174098,5.12,,,,,,,,1.104034,0,19.830149,20,,
2026-06-01,2026-06-18,20260610_growme_EN_9x16_FX-learning_ZT-brain_RS-P1X1R3C3_wxx,inactive,3,actions:app_custom_event.fb_mobile_purchase,45.54333333,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,87548,1.56063,136.63,166,0.823072,13,10.51,3,45.543333,0.367416,1.054279,0.38785047,13.762736,527,,
2026-06-01,2026-06-18,20260610_GrowMe_EN_9x16_FX-LifeLessons_ZT-compare_RS-P3X1R1C3_gy,active,,,,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,1482,2.68556,3.98,,,,,,,,1.48448,0,17.54386,11,,
2026-06-01,2026-06-18,"20260609_GrowMe_EN_9x16_FX-Learning_ZT- read pic_RS-P3X1R1C3_fj",active,6,actions:app_custom_event.fb_mobile_purchase,20.93333333,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,48943,2.566251,125.6,55,2.283636,9,13.955556,6,20.933333,0.543392,1.40163,0.17460317,12.220338,186,,
2026-06-01,2026-06-18,20260608_GrowMe_EN_9x16_FX-SelfImprovement_ZT-stop_RS-P3X1R1C3_fj_jql,active,,,,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,86,1.744186,0.15,,,,,,,,3.488372,0,30.232558,2,,
2026-06-01,2026-06-18,20260611_GrowMe_EN_9x16_FX-Mindset_ZT-brain_RS-P3X1R1C3_gy_jql,active,,,,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,440,2.454545,1.08,,,,,,,,3.636364,0,18.863636,,,
2026-06-01,2026-06-18,20260609_GrowMe_EN_9x16_FX-Mindset_ZT-waste_RS-P3X1R1C3_gy_jql,active,,,,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,95,1.684211,0.16,,,,,,,,6.315789,0,23.157895,2,,
2026-06-01,2026-06-18,20260608_GrowMe_EN_9x16_FX-SelfImprovement_ZT-consistency_RS-P3X1R1C3_fj_jql,active,,,,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,45,3.333333,0.15,,,,,,,,0,,28.888889,,,
