报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率","视频播放进度达 100% 的次数",帖子评论数,帖文互动,结果（初始）,成效（初始）指标
2026-06-01,2026-07-06,20260612_growme_EN_9x16_FX-LifeLessons_ZT-jounrey_RS-P1X1R3C3_wxx,active,15,actions:app_custom_event.fb_mobile_purchase,15.75733333,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,133322,1.772851,236.36,229,1.03214,21,11.255238,15,15.757333,0.991454,1.209853,0.25846501,15.985359,1302,19,24492,,
2026-06-01,2026-07-06,20260612_growme_EN_9x16_FX-LifeLessons_ZT-patience_RS-P1X1R3C3_wxx,active,,,,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,1640,1.945122,3.19,1,3.19,,,,,,1.646341,0.0625,17.195122,12,,315,,
2026-06-01,2026-07-06,"20260611_GrowMe_EN_9x16_FX-Learning_ZT-Reading habits_RS-P3X1R1C3_fj",inactive,1,actions:app_custom_event.fb_mobile_purchase,45.83,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,17156,2.671369,45.83,26,1.762692,1,45.83,1,45.83,0.252891,0.804383,0.34210526,16.145955,125,,2966,,
2026-06-01,2026-07-06,20260610_growme_EN_9x16_FX-learning_ZT-brain_RS-P1X1R3C3_wxx,inactive,3,actions:app_custom_event.fb_mobile_purchase,45.54333333,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,87548,1.56063,136.63,166,0.823072,13,10.51,3,45.543333,0.367416,1.054279,0.38785047,13.762736,527,3,13388,,
2026-06-01,2026-07-06,20260610_GrowMe_EN_9x16_FX-LifeLessons_ZT-compare_RS-P3X1R1C3_gy,inactive,58,actions:app_custom_event.fb_mobile_purchase,44.49189655,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,889165,2.902195,2580.53,1394,1.851169,94,27.452447,58,44.491897,0.518041,1.550556,0.16646764,14.218733,7651,12,140522,,
2026-06-01,2026-07-06,"20260609_GrowMe_EN_9x16_FX-Learning_ZT- read pic_RS-P3X1R1C3_fj",inactive,15,actions:app_custom_event.fb_mobile_purchase,47.14266667,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,265595,2.662475,707.14,304,2.326118,24,29.464167,15,47.142667,0.414571,1.410418,0.13881279,11.531844,1068,3,33854,,
2026-06-01,2026-07-06,20260608_GrowMe_EN_9x16_FX-SelfImprovement_ZT-stop_RS-P3X1R1C3_fj_jql,active,,,,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,841,2.699168,2.27,,,,,,,,2.615933,0,23.424495,8,,219,,
2026-06-01,2026-07-06,20260611_GrowMe_EN_9x16_FX-Mindset_ZT-brain_RS-P3X1R1C3_gy_jql,active,,,,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,2799,2.318685,6.49,6,1.081667,,,,,,2.679528,0.0952381,18.435155,14,,596,,
2026-06-01,2026-07-06,20260609_GrowMe_EN_9x16_FX-Mindset_ZT-waste_RS-P3X1R1C3_gy_jql,active,,,,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,1012,2.460474,2.49,1,2.49,,,,,,2.766798,0.04166667,21.541502,7,,246,,
2026-06-01,2026-07-06,20260608_GrowMe_EN_9x16_FX-SelfImprovement_ZT-consistency_RS-P3X1R1C3_fj_jql,active,,,,260615_ABO_AEO-Purchase_ios_vid_Growme_WW_0608back_joy-betty,90,2.888889,0.26,,,,,,,,2.222222,0,26.666667,,,27,,
