报告开始日期,报告结束日期,广告名称,广告投放,成效,成效指标,单次成效费用,广告组名称,展示次数,"CPM（千次展示费用） (USD)","已花费金额 (USD)",应用安装量,"单次应用安装费用 (USD)",订阅次数,"单次订阅费用 (USD)",购物次数,"单次购物费用 (USD)","广告花费回报 (ROAS) - 购物",点击率（全部）,custom_derived_metrics:334261784830934,"单次展示的播放视频达 3 秒率",帖子评论数,帖文互动,成效获得率,"视频播放进度达 100% 的次数",结果（初始）,成效（初始）指标
2026-07-01,2026-07-13,20260601_GrowMe_EN_9x16_FX-Learning_ZT-trainbrain_RS-P3X1R1C3_fj,inactive,,,,260706_ABO_AEO-Purchase_ios_vid_Growme_WW_五六月回滚素材总_joy,5152,3.328804,17.15,6,2.858333,,,,,,2.542702,0.07058824,21.428571,,1219,,81,,
2026-07-01,2026-07-13,20260603_GrowMe_0_EN_9x16_FX-Learning_ZT-speak_RS-P3X1R1C3_gy,inactive,2,actions:app_custom_event.fb_mobile_purchase,72.905,260706_ABO_AEO-Purchase_ios_vid_Growme_WW_五六月回滚素材总_joy,85523,1.704921,145.81,55,2.651091,1,145.81,2,72.905,0.091489,0.886311,0.15625,13.401073,,12235,0.00233855,692,,
2026-07-01,2026-07-13,20260603_GrowMe_EN_9x16_FX-Growth_ZT-change_RS-P3X1R1C3_gy,inactive,1,actions:app_custom_event.fb_mobile_purchase,97.79,260706_ABO_AEO-Purchase_ios_vid_Growme_WW_五六月回滚素材总_joy,34936,2.799118,97.79,31,3.154516,3,32.596667,1,97.79,0.125575,0.761392,0.24409449,15.482597,,5805,0.00286238,467,,
2026-07-01,2026-07-13,20260610_GrowMe_EN_9x16_FX-LifeLessons_ZT-compare_RS-P3X1R1C3_gy,inactive,,,,260706_ABO_AEO-Purchase_ios_vid_Growme_WW_五六月回滚素材总_joy,11034,3.515498,38.79,18,2.155,,,,,,1.549755,0.25352113,15.479427,1,1878,,78,,
2026-07-01,2026-07-13,20260612_growme_EN_9x16_FX-LifeLessons_ZT-jounrey_RS-P1X1R3C3_wxx,inactive,,,,260706_ABO_AEO-Purchase_ios_vid_Growme_WW_五六月回滚素材总_joy,11741,1.593561,18.71,7,2.672857,,,,,,0.698407,0.14,14.896516,,1949,,108,,
2026-07-01,2026-07-13,20260618_GrowMe_EN_9x16_FX-Learning_ZT-pace_RS-P3X1R1C3_gy_jql,inactive,5,actions:app_custom_event.fb_mobile_purchase,50.986,260706_ABO_AEO-Purchase_ios_vid_Growme_WW_五六月回滚素材总_joy,65971,3.864274,254.93,43,5.928605,7,36.418571,5,50.986,0.456282,1.11261,0.15693431,18.888603,2,13428,0.00757909,347,,
2026-07-01,2026-07-13,20260702_GrowMe_EN_9x16_FX-Readers_ZT-Learning-habbit_RS-P3X1R1C3_fj,not_delivering,1,actions:app_custom_event.fb_mobile_purchase,46.72,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_设计师回滚0629周_joy,11595,4.029323,46.72,19,2.458947,1,46.72,1,46.72,0.566781,1.836999,0.10734463,19.128935,,2455,0.00862441,153,,
2026-07-01,2026-07-13,20260701_growme_EN_0_9x16_FX-Readers_ZT-Bookreading-read_RS-P1X1R3C3_gy,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_设计师回滚0629周_joy,8239,4.504187,37.11,12,3.0925,1,37.11,,,,2.476029,0.09375,18.885787,,1737,,109,,
2026-07-01,2026-07-13,20260701_growme_EN_9x16_FX-Professionals_ZT-SelfImprovement_RS-P1X1R3C3_fj,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_设计师回滚0629周_joy,520,5.25,2.73,,,,,,,,1.730769,0,25.384615,,141,,5,,
2026-07-01,2026-07-13,20260630_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Challenge-consistency_RS-P1X1R3C3_wxx,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_设计师回滚0629周_joy,1718,4.586729,7.88,2,3.94,,,,,,2.561118,0.0625,22.700815,,433,,14,,
2026-07-01,2026-07-13,20260630_GrowMe_EN_9x16_FX-SelfGrowth_ZT-Learning-lifelonglearn_RS-P1X1R3C3_wxx,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_设计师回滚0629周_joy,1132,3.763251,4.26,2,2.13,,,,,,2.208481,0.13333333,23.144876,,288,,19,,
2026-07-01,2026-07-13,20260630_GrowMe_EN_0_9x16_FX-EnglishLearners_ZT-Learning-1000_RS-P3X1R1C3_fj,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_设计师回滚0629周_joy,633,4.597156,2.91,2,1.455,,,,,,1.263823,0.2,31.279621,,212,,8,,
2026-07-01,2026-07-13,20260630_GrowMe_EN_9x16_FX-SelfGrowth_ZT-LifeLessons-loveyourself_RS-P3X1R1C3_fj,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_设计师回滚0629周_joy,22669,3.348185,75.9,14,5.421429,,,,,,1.049892,0.08139535,21.311042,,5204,,354,,
2026-07-01,2026-07-13,20260629_GrowMe_0_EN_9x16_FX-EnglishLearners_ZT-Learning-learn_RS-P3X1R1C3_gy,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_设计师回滚0629周_joy,1140,4.192982,4.78,2,2.39,,,,,,3.508772,0.04545455,21.842105,1,299,,13,,
2026-07-01,2026-07-13,20260629_GrowMe_0_EN_9x16_FX-Overthinkers_ZT-Lifelessons-explain_RS-P3X1R1C3_gy,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_设计师回滚0629周_joy,288,5.208333,1.5,,,,,,,,3.472222,0,30.555556,,98,,3,,
2026-07-01,2026-07-13,20260616_growme_EN_9x16_FX-aitalk_ZT-niceleader_RS-P1X1R3C3_wxx,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_设计师回滚0629周_joy,20,4.5,0.09,,,,,,,,0,,15,,3,,,,
2026-07-01,2026-07-13,20260629_GrowMe_EN_0_9x16_FX-EnglishLearners_ZT-Learning-translate_RS-P3X1R1C3_gy,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_设计师回滚0629周_joy,14632,3.256561,47.65,14,3.403571,,,,,,1.407873,0.13207547,17.659923,,2787,,155,,
2026-07-01,2026-07-13,20260703_GrowMe_EN_9x16_FX-SelfGrowth_ZT-learning-book_RS-P1X1R3C3_wxx,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_客观数据回滚0629周_joy,7287,3.815013,27.8,18,1.544444,,,,,,1.852614,0.17142857,17.030328,,1398,,28,,
2026-07-01,2026-07-13,20260703_growme_EN_9x16_FX-EnglishLearners_ZT-Learning-niupizhi_LV1-color1_RS-P1X1R3C1_gy,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_客观数据回滚0629周_joy,17246,2.081642,35.9,25,1.436,,,,,,1.142294,0.28089888,15.586223,,2876,,143,,
2026-07-01,2026-07-13,"20260702_GrowMe_EN_9x16_FX-Readers_ZT-Book Reading-read_RS-P3X1R1C3_gy_czy",not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_客观数据回滚0629周_joy,781,3.072983,2.4,,,,,,,,2.048656,0,20.870679,,184,,7,,
2026-07-01,2026-07-13,20260701_GrowMe_EN_9x16_FX-Students_ZT-lifelessons-3min_RS-P1X1R3C3_wxx,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_客观数据回滚0629周_joy,2072,2.340734,4.85,3,1.616667,,,,,,1.447876,0.17647059,15.395753,,354,,4,,
2026-07-01,2026-07-13,20260701_growme_EN_9x16_FX-Students_ZT-SelfImprovement_RS-P1X1R3C3_fj,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_客观数据回滚0629周_joy,116,1.37931,0.16,,,,,,,,0,,18.965517,,23,,,,
2026-07-01,2026-07-13,20260630_GrowMe_EN_9x16_FX-SelfGrowth_ZT-LifeLessons-11things_RS-P3X1R1C3_fj,inactive,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_客观数据回滚0629周_joy,11110,3.144014,34.93,11,3.175455,,,,,,0.729073,0.44,31.19712,,3758,,107,,
2026-07-01,2026-07-13,20260629_growme_EN_9x16_FX-SelfGrowth_ZT-Habits-change_RS-P1X1R3C3_wxx,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_客观数据回滚0629周_joy,689,3.29463,2.27,,,,,,,,1.886792,0,19.1582,,146,,1,,
2026-07-01,2026-07-13,20260629_growme_EN_9x16_FX-Overthinkers_ZT-LifeLessons-consistency_RS-P1X1R3C3_wxx,not_delivering,,,,260707_ABO_AEO-Purchase_ios_vid_Growme_WW_客观数据回滚0629周_joy,1754,3.107184,5.45,5,1.09,,,,,,2.280502,0.13888889,20.752566,,420,,37,,
2026-07-01,2026-07-13,20260618_GrowMe_EN_9x16_FX-Learning_ZT-pace_RS-P3X1R1C3_gy_jql,not_delivering,,,,260709_ABO_AEO-Purchase_ios_vid_Growme_WW_五六月回滚素材复跑_joy,1023,6.304985,6.45,1,6.45,,,,,,1.075269,1,23.949169,,263,,8,,
